x,y,z
204,258,d
204,258,d
203,258,d
201,257,d
201,256,d
200,256,d
197,254,d
196,253,d
195,253,d
194,252,d
192,251,d
191,251,d
191,251,d
190,250,d
189,249,d
189,248,d
187,247,d
186,247,d
185,246,d
184,245,d
183,243,d
182,243,d
181,243,d
180,242,d
180,242,d
180,241,d
179,241,d
177,240,d
176,239,d
174,238,d
172,236,d
171,235,d
170,235,d
169,234,d
168,233,d
166,231,d
166,230,d
165,230,d
164,230,d
164,229,d
163,229,d
161,228,d
159,227,d
158,226,d
157,225,d
155,224,d
155,223,d
154,222,d
152,221,d
150,219,d
149,218,d
148,217,d
146,215,d
145,214,d
143,213,d
141,212,d
141,211,d
140,211,d
139,211,d
138,210,d
137,210,d
137,209,d
137,209,d
135,208,d
135,208,d
134,206,d
133,206,d
133,206,d
132,205,d
131,204,d
130,204,d
129,204,d
127,202,d
126,201,d
123,200,d
122,199,d
121,199,d
119,199,d
118,199,d
115,198,d
112,196,d
110,195,d
110,195,d
108,194,d
107,194,d
106,194,d
105,193,d
103,192,d
100,191,d
99,191,d
99,191,d
97,190,d
96,190,d
95,190,d
92,188,d
91,187,d
90,186,d
89,186,d
86,184,d
83,182,d
82,182,d
79,181,d
78,181,d
78,180,d
77,180,d
75,180,d
74,179,d
72,178,d
70,178,d
69,177,d
67,177,d
299,47,a
299,47,a
298,47,a
298,48,a
297,50,a
297,51,a
296,52,a
295,52,a
295,53,a
295,54,a
295,55,a
295,57,a
294,58,a
294,59,a
294,59,a
294,60,a
293,60,a
291,62,a
291,63,a
290,63,a
290,64,a
290,65,a
290,66,a
290,67,a
288,68,a
287,68,a
287,68,a
286,68,a
286,68,a
283,69,a
281,70,a
280,70,a
278,71,a
278,71,a
277,71,a
276,71,a
275,71,a
275,72,a
274,72,a
274,72,a
273,73,a
271,73,a
271,74,a
271,74,a
270,74,a
269,76,a
268,76,a
267,77,a
266,78,a
265,78,a
264,79,a
263,79,a
263,79,a
262,80,a
262,81,a
261,82,a
260,84,a
260,85,a
259,87,a
258,89,a
258,91,a
258,91,a
258,92,a
258,93,a
257,94,a
257,95,a
256,96,a
256,96,a
255,96,a
255,97,a
255,98,a
254,98,a
253,100,a
253,102,a
252,103,a
252,104,a
251,105,a
250,106,a
250,107,a
250,109,a
250,110,a
249,111,a
249,112,a
249,113,a
249,116,a
249,117,a
249,117,a
249,118,a
249,119,a
249,119,a
249,120,a
249,121,a
249,122,a
249,123,a
249,124,a
249,124,a
249,125,a
249,126,a
249,126,a
249,128,a
249,129,a
249,130,a
249,131,a
249,132,a
249,133,a
249,134,a
249,136,a
249,137,a
249,138,a
249,139,a
249,140,a
249,141,a
249,143,a
249,144,a
249,145,a
249,146,a
249,148,a
249,149,a
249,151,a
250,152,a
250,153,a
251,154,a
251,156,a
251,157,a
251,157,a
251,157,a
252,160,a
252,161,a
252,161,a
253,164,a
254,164,a
254,164,a
255,164,a
255,164,a
256,164,a
256,164,a
257,164,a
257,164,a
258,164,a
258,164,a
259,164,a
259,164,a
260,164,a
260,165,a
261,165,a
263,165,a
263,165,a
264,165,a
264,165,a
265,165,a
265,165,a
267,165,a
268,165,a
268,165,a
269,165,a
269,165,a
271,165,a
272,165,a
272,165,a
272,165,a
273,165,a
274,164,a
275,164,a
276,164,a
278,163,a
279,163,a
280,163,a
280,163,a
281,163,a
281,163,a
282,163,a
282,163,a
283,163,a
284,163,a
283,161,a
283,161,a
282,160,a
282,159,a
282,158,a
281,158,a
281,158,a
281,157,a
281,154,a
281,153,a
281,152,a
281,152,a
280,152,a
280,150,a
280,148,a
279,146,a
279,145,a
278,145,a
278,144,a
278,143,a
278,143,a
277,143,a
276,142,a
275,142,a
274,141,a
274,140,a
273,140,a
271,138,a
271,136,a
271,136,a
271,135,a
271,133,a
270,132,a
270,131,a
269,130,a
269,129,a
269,129,a
269,128,a
269,128,a
268,127,a
268,126,a
267,121,a
267,119,a
267,118,a
267,118,a
267,117,a
267,116,a
267,116,a
267,115,a
267,115,a
267,114,a
267,114,a
267,113,a
267,112,a
267,110,a
267,109,a
267,109,a
267,107,a
267,107,a
267,106,a
267,106,a
267,105,a
267,104,a
267,102,a
267,101,a
267,101,a
267,99,a
267,97,a
267,97,a
267,98,a
267,100,a
267,101,a
267,102,a
267,103,a
267,105,a
267,105,a
267,106,a
267,107,a
268,107,a
268,108,a
268,109,a
268,109,a
268,110,a
268,110,a
268,112,a
268,113,a
268,113,a
268,114,a
268,114,a
268,115,a
268,115,a
268,116,a
268,116,a
268,117,a
268,119,a
268,119,a
268,120,a
268,121,a
268,120,a
269,120,a
270,119,a
270,119,a
271,118,a
272,118,a
272,118,a
273,117,a
274,117,a
275,116,a
275,116,a
276,116,a
276,116,a
277,116,a
277,116,a
277,115,a
278,115,a
279,115,a
279,115,a
280,115,a
281,115,a
282,115,a
283,114,a
284,114,a
285,114,a
286,114,a
288,114,a
289,114,a
289,114,a
288,114,a
288,114,a
287,114,a
287,114,a
286,114,a
286,114,a
285,114,a
285,114,a
284,114,a
283,114,a
283,114,a
282,114,a
281,115,a
280,115,a
279,116,a
278,116,a
278,116,a
277,116,a
277,116,a
277,116,a
276,116,a
275,117,a
275,117,a
274,117,a
274,118,a
273,118,a
272,118,a
272,119,a
271,119,a
271,119,a
271,119,a
270,119,a
270,120,a
270,121,a
268,122,a
267,126,a
268,126,a
268,126,a
270,126,a
270,126,a
271,126,a
271,126,a
272,125,a
273,125,a
275,125,a
275,125,a
275,125,a
275,126,a
275,127,a
275,129,a
274,130,a
274,131,a
274,132,a
274,133,a
274,135,a
274,137,a
274,137,a
274,138,a
274,139,a
275,140,a
275,141,a
276,141,a
276,142,a
279,144,a
279,145,a
279,146,a
279,146,a
279,146,a
279,147,a
279,148,a
280,149,a
281,151,a
282,152,a
282,153,a
283,154,a
283,154,a
283,155,a
284,158,a
284,159,a
284,159,a
286,161,a
286,162,a
286,163,a
285,163,a
284,163,a
283,163,a
283,163,a
282,164,a
281,164,a
280,164,a
280,165,a
279,165,a
278,165,a
277,166,a
277,166,a
276,166,a
276,166,a
275,166,a
275,166,a
274,166,a
273,166,a
273,166,a
272,166,a
271,166,a
270,165,a
269,165,a
268,165,a
268,164,a
267,164,a
266,164,a
266,164,a
265,164,a
265,164,a
264,164,a
264,164,a
263,164,a
262,165,a
260,165,a
258,165,a
256,166,a
255,166,a
255,166,a
255,166,a
255,167,a
254,167,a
254,167,a
254,167,a
254,167,a
254,168,a
253,169,a
253,170,a
253,171,a
253,171,a
253,172,a
254,173,a
254,174,a
255,175,a
255,175,a
256,177,a
256,179,a
257,179,a
257,180,a
258,180,a
259,180,a
260,180,a
261,180,a
263,181,a
263,181,a
264,181,a
267,181,a
267,181,a
268,181,a
268,181,a
269,181,a
270,181,a
272,180,a
273,180,a
273,179,a
274,179,a
275,179,a
275,179,a
277,178,a
279,178,a
278,178,a
277,179,a
276,179,a
275,179,a
274,180,a
273,180,a
